edificio_id,regional_sample_rank,codigo_region,region,codigo_comuna,tmy_commune_id,nombre_comuna,year,episcope_archetype,area_promedio_inmueble_m2,n_inmuebles,total_inmuebles_regional,wood_inmuebles_regional,wood_share_regional,sampling_weight_wood_inmuebles,sample_expansion_weight,requested_samples_region,n_pers_edificio,heating_demand_kwh,heating_demand_kwh_m2,scenario,efficiency,target_fuel_energy_kwh,assigned_useful_energy_kwh,assigned_fuel_energy_kwh,unallocated_fuel_energy_kwh,unmet_heating_energy_kwh,wood_mass_kg,wood_volume_solid_m3,wood_volume_stere,scenario_source,useful_coverage_target,redpe_case,redpe_target_m3st,weather_rows,building_year,building_type,material,thermal_zone,model_persons,model_area_m2
99748,1,1,Tarapaca,1211,1107,Alto Hospicio,2024,CL.SFH.CEV.lad.A,46.0,1,89793,166,0.0018486964462708674,0.0001684851560517635,16.6,10,4.261682242990654,2769.8789442975335,60.21475965864203,coverage_mid,0.5,4154.8184164463,2077.40920822315,4154.8184164463,0.0,692.4697360743835,997.156419947112,1.4245091713530171,2.2257955802390894,coverage_sensitivity,0.75,,,8784,2018,SFH,lad,A,4,46.0
64898,2,1,Tarapaca,1201,1101,Iquique,2024,CL.SFH.preRT.lad.A,36.0,1,89793,166,0.0018486964462708674,0.0001684851560517635,16.6,10,5.48,4582.974484410004,127.30484678916679,coverage_mid,0.5,6874.461726615006,3437.2308633075027,6874.461726615005,9.094947017729282e-13,1145.743621102502,1649.8708143876015,2.356958306268002,3.6827473535437534,coverage_sensitivity,0.75,,,8784,1990,SFH,lad,A,5,36.0
80892,3,1,Tarapaca,1206,1404,Huara,2024,CL.SFH.post2021.lad.A,31.0,1,89793,166,0.0018486964462708674,0.0001684851560517635,16.6,10,1.4166666666666667,6728.32345371888,217.04269205544773,coverage_mid,0.5,10092.48518057832,5046.242590289159,10092.485180578318,1.8189894035458565e-12,1682.0808634297207,2422.1964433387966,3.460280633341138,5.406688489595528,coverage_sensitivity,0.75,,,8784,2022,SFH,lad,A,1,31.0
81216,4,1,Tarapaca,1210,1403,Colchane,2024,CL.SFH.preRT.adobe.H,48.0,1,89793,166,0.0018486964462708674,0.0001684851560517635,16.6,10,1.058252427184466,8860.51775235224,184.59411984067165,coverage_mid,0.5,13290.77662852836,6645.38831426418,13290.77662852836,0.0,2215.12943808806,3189.786390846806,4.556837701209723,7.120058908140192,coverage_sensitivity,0.75,,,8784,1990,SFH,adobe,H,1,48.0
81066,5,1,Tarapaca,1208,1402,Camiña,2024,CL.SFH.preRT.adobe.B,47.0,1,89793,166,0.0018486964462708674,0.0001684851560517635,16.6,10,1.8181818181818181,3007.534117499057,63.99008760636292,coverage_mid,0.5,4511.301176248586,2255.6505881242924,4511.301176248585,9.094947017729282e-13,751.8835293747642,1082.7122822996603,1.5467318318566576,2.4167684872760273,coverage_sensitivity,0.75,,,8784,1990,SFH,adobe,B,2,47.0
77089,6,1,Tarapaca,1204,1401,Pozo Almonte,2024,CL.SFH.preRT.mad.B,107.0,1,89793,166,0.0018486964462708674,0.0001684851560517635,16.6,10,0.22580645161290322,418.9937611442746,3.9158295434044352,coverage_mid,0.5,628.4906417164118,314.2453208582059,628.4906417164118,0.0,104.74844028606877,150.8377540119388,0.21548250573134117,0.33669141520522056,coverage_sensitivity,0.75,,,8784,1990,SFH,mad,B,1,107.0
81218,7,1,Tarapaca,1210,1403,Colchane,2024,CL.SFH.preRT.adobe.H,48.0,1,89793,166,0.0018486964462708674,0.0001684851560517635,16.6,10,1.058252427184466,8860.51834199115,184.59413212481562,coverage_mid,0.5,13290.777512986726,6645.388756493365,13290.77751298673,0.0,2215.1295854977852,3189.786603116815,4.556838004452593,7.1200593819571765,coverage_sensitivity,0.75,,,8784,1990,SFH,adobe,H,1,48.0
85499,8,1,Tarapaca,1211,1107,Alto Hospicio,2024,CL.SFH.RT2.mad.A,40.0,1,89793,166,0.0018486964462708674,0.0001684851560517635,16.6,10,3.5652173913043477,1609.7415804336867,40.24353951084217,coverage_mid,0.5,2414.61237065053,1207.306185325265,2414.61237065053,0.0,402.4353951084218,579.5069689561273,0.8278670985087532,1.2935423414199267,coverage_sensitivity,0.75,,,8784,2011,SFH,mad,A,4,40.0
81033,9,1,Tarapaca,1208,1402,Camiña,2024,CL.SFH.RT2.lad.B,46.0,1,89793,166,0.0018486964462708674,0.0001684851560517635,16.6,10,1.625,1904.7509972603957,41.40763037522599,coverage_mid,0.5,2857.1264958905936,1428.5632479452966,2857.126495890593,4.547473508864641e-13,476.1877493150989,685.7103590137424,0.9795862271624891,1.5306034799413892,coverage_sensitivity,0.75,,,8784,2011,SFH,lad,B,2,46.0
80370,10,1,Tarapaca,1206,1404,Huara,2024,CL.SFH.RT1.mad.B,64.0,1,89793,166,0.0018486964462708674,0.0001684851560517635,16.6,10,6.666666666666667,3982.0819950745813,62.22003117304033,coverage_mid,0.5,5973.122992611872,2986.5614963059365,5973.122992611873,0.0,995.5204987686449,1433.5495182268496,2.0479278831812135,3.199887317470646,coverage_sensitivity,0.75,,,8784,2003,SFH,mad,B,7,64.0
111131,1,2,Antofagasta,2103,2302,María Elena,2024,CL.SFH.preRT.mad.B,112.0,1,175972,970,0.00551224058372923,0.0009845216950012687,97.0,10,2.739130434782609,222.55400912550186,1.987089367191981,coverage_mid,0.5,333.8310136882528,166.9155068441264,333.8310136882528,0.0,55.638502281375445,80.11944328518068,0.11445634755025812,0.1788380430472783,coverage_sensitivity,0.75,,,8784,1990,SFH,mad,B,3,112.0
